group,groupName,Age,intErr,extErr,sample,reference
A11,G1-G5,22.71677,0.47608,1.78661,G13,"Zech et al., 2013"
A11,G1-G5,22.34072,0.52052,1.76048,G15,"Zech et al., 2013"
A11,G1-G5,22.90151,0.19746,1.75361,G43,"Zech et al., 2013"
A11,G1-G5,26.06688,0.18923,1.965,G44,"Zech et al., 2013"
A11,G1-G5,23.44004,0.18035,1.78856,G51,"Zech et al., 2013"
A11,G1-G5,23.99624,0.23502,1.82193,G53,"Zech et al., 2013"
A12,G6-G8,62.6875,1.27332,5.20494,G61,"Zech et al., 2013"
A12,G6-G8,79.06936,0.66323,7.14945,G62,"Zech et al., 2013"
A12,G6-G8,67.14414,1.68196,5.85296,G65,"Zech et al., 2013"
A12,G6-G8,73.90782,0.52513,6.43514,G72,"Zech et al., 2013"
A12,G6-G8,69.06865,0.55224,5.94483,G81,"Zech et al., 2013"
A12,G6-G8,51.56088,1.17153,4.69627,G83,"Zech et al., 2013"
A12,G6-G8,67.58714,0.45683,5.69946,G85,"Zech et al., 2013"
A21,AK1-AK4,21.76361,0.16129,1.62153,AK11,"Abramowski et al., 2006"
A21,AK1-AK4,29.66276,0.15769,2.26416,AK12,"Abramowski et al., 2006"
A21,AK1-AK4,22.89743,0.19166,1.76248,AK13,"Abramowski et al., 2006"
A21,AK1-AK4,25.17437,0.16162,1.87075,AK21,"Abramowski et al., 2006"
A21,AK1-AK4,14.16068,0.10136,1.08679,AK22,"Abramowski et al., 2006"
A21,AK1-AK4,17.33235,0.14324,1.32252,AK23,"Abramowski et al., 2006"
A21,AK1-AK4,21.21832,0.12813,1.53057,AK24,"Abramowski et al., 2006"
A21,AK1-AK4,21.3318,0.12016,1.54506,AK25,"Abramowski et al., 2006"
A21,AK1-AK4,12.64823,0.07783,0.99302,AK31,"Abramowski et al., 2006"
A21,AK1-AK4,31.94803,0.16435,2.43358,AK32,"Abramowski et al., 2006"
A21,AK1-AK4,26.37853,0.13399,1.99797,AK33,"Abramowski et al., 2006"
A21,AK1-AK4,21.76724,0.15495,1.61325,AK34,"Abramowski et al., 2006"
A21,AK1-AK4,16.77331,0.11197,1.29095,AK35,"Abramowski et al., 2006"
A21,AK1-AK4,29.36764,0.14496,2.22792,AK41,"Abramowski et al., 2006"
A21,AK1-AK4,24.66884,0.10812,1.83609,AK42,"Abramowski et al., 2006"
A21,AK1-AK4,23.84908,0.13868,1.80895,AK43,"Abramowski et al., 2006"
A21,AK1-AK4,25.10329,0.13217,1.86087,AK44,"Abramowski et al., 2006"
A21,AK1-AK4,19.15267,0.08565,1.38346,AK45,"Abramowski et al., 2006"
A22,KK,71.55972,0.36789,6.15489,KK1,"Abramowski et al., 2006"
A22,KK,78.84484,0.42211,7.04055,KK2,"Abramowski et al., 2006"
A22,KK,66.42629,0.31018,5.49355,KK3,"Abramowski et al., 2006"
A31,Kitsch Kurumdu-6,62.57701,1.92885,5.40512,KI31,Zech 2012
A31,Kitsch Kurumdu-6,66.28098,2.74215,6.10732,KI32,Zech 2012
A31,Kitsch Kurumdu-6,18.96511,0.68779,1.54255,KI33,Zech 2012
A41,Terskey Ala Tau-3,37.68896,0.60902,2.89809,KTS98-CS-66,"Koppes et al., 2008"
A41,Terskey Ala Tau-3,33.24538,0.77781,2.65055,KTS98-CS-81,"Koppes et al., 2008"
A41,Terskey Ala Tau-3,66.38421,0.83777,5.55462,KTS98-CS-87,"Koppes et al., 2008"
A41,Terskey Ala Tau-3,72.15561,1.31246,6.31708,KTS98-CS-88,"Koppes et al., 2008"
A41,Terskey Ala Tau-3,49.99927,1.9599,4.72326,KTS98-CS-104,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,137.73914,7.37682,14.90914,KTS98-CS-90,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,168.84567,4.9165,17.03173,KTS98-CS-91,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,72.49131,1.9119,6.50272,KTS98-CS-92,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,54.17106,1.47339,4.89461,KTS98-CS-83,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,41.61329,0.97757,3.29718,SCT-020901-2,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,33.89685,0.81818,2.69699,SCT-020901-3,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,95.98469,2.34276,8.28966,KTS98-CS-97,"Koppes et al., 2008"
A42,Terskey Ala Tau-2,51.55775,1.34899,4.6727,KTS98-CS-98,"Koppes et al., 2008"
